name,career_name,entry_levels,final,path,
Mathematics And Computer Science,Grader,['Grader'],False,"[""Grader"", ""Design Engineer"", ""Liaison Engineer"", ""Aeronautical Engineer""]"
Mathematics And Computer Science,Design Engineer,['Grader'],False,"[""Grader"", ""Design Engineer"", ""Liaison Engineer"", ""Aeronautical Engineer""]"
Mathematics And Computer Science,Liaison Engineer,['Grader'],False,"[""Grader"", ""Design Engineer"", ""Liaison Engineer"", ""Aeronautical Engineer""]"
Mathematics And Computer Science,Aeronautical Engineer,['Grader'],True,"[""Grader"", ""Design Engineer"", ""Liaison Engineer"", ""Aeronautical Engineer""]"
Computer Engineering,Software Developer Internship,['Software Developer Internship'],False,"[""Software Developer Internship"", ""Software Developer"", ""Software Engineer"", ""Software Engineer-Consultant""]"
Computer Engineering,Software Developer,"['Computer Programmer', 'Software Developer Internship']",False,"[""Software Developer Internship"", ""Software Developer"", ""Software Engineer"", ""Software Engineer-Consultant""]"
Computer Engineering,Software Engineer,"['Associate Software Engineer', 'Computer Programmer', 'Software Developer Internship']",False,"[""Software Developer Internship"", ""Software Developer"", ""Software Engineer"", ""Software Engineer-Consultant""]"
Computer Engineering,Software Engineer-Consultant,"['Associate Software Engineer', 'Computer Programmer', 'Software Developer Internship']",True,"[""Software Developer Internship"", ""Software Developer"", ""Software Engineer"", ""Software Engineer-Consultant""]"
Computer Engineering,Associate Software Engineer,['Associate Software Engineer'],False,"[""Associate Software Engineer"", ""Software Engineer"", ""Senior Software Engineer"", ""Senior Software Engineer/Architect""]"
Computer Engineering,Software Engineer,"['Associate Software Engineer', 'Computer Programmer', 'Software Developer Internship']",False,"[""Associate Software Engineer"", ""Software Engineer"", ""Senior Software Engineer"", ""Senior Software Engineer/Architect""]"
Computer Engineering,Senior Software Engineer,"['Associate Software Engineer', 'NET Developer', 'Computer Programmer', 'Software Developer Internship']",False,"[""Associate Software Engineer"", ""Software Engineer"", ""Senior Software Engineer"", ""Senior Software Engineer/Architect""]"
Computer Engineering,Senior Software Engineer/Architect,"['Associate Software Engineer', 'NET Developer', 'Computer Programmer', 'Software Developer Internship']",True,"[""Associate Software Engineer"", ""Software Engineer"", ""Senior Software Engineer"", ""Senior Software Engineer/Architect""]"
Computer Engineering,NET Developer,['NET Developer'],False,"[""NET Developer"", ""Sharepoint Developer"", ""Senior Sharepoint Developer""]"
Computer Engineering,Sharepoint Developer,['NET Developer'],False,"[""NET Developer"", ""Sharepoint Developer"", ""Senior Sharepoint Developer""]"
Computer Engineering,Senior Sharepoint Developer,['NET Developer'],True,"[""NET Developer"", ""Sharepoint Developer"", ""Senior Sharepoint Developer""]"
Computer Engineering,Associate Software Engineer,['Associate Software Engineer'],False,"[""Associate Software Engineer"", ""Software Engineer"", ""Senior Software Engineer"", ""Senior Software Architect""]"
Computer Engineering,Software Engineer,"['Associate Software Engineer', 'Computer Programmer', 'Software Developer Internship']",False,"[""Associate Software Engineer"", ""Software Engineer"", ""Senior Software Engineer"", ""Senior Software Architect""]"
Computer Engineering,Senior Software Engineer,"['Associate Software Engineer', 'NET Developer', 'Computer Programmer', 'Software Developer Internship']",False,"[""Associate Software Engineer"", ""Software Engineer"", ""Senior Software Engineer"", ""Senior Software Architect""]"
Computer Engineering,Senior Software Architect,"['Associate Software Engineer', 'NET Developer', 'Computer Programmer', 'Software Developer Internship']",True,"[""Associate Software Engineer"", ""Software Engineer"", ""Senior Software Engineer"", ""Senior Software Architect""]"
Computer Engineering,NET Developer,['NET Developer'],False,"[""NET Developer"", ""Senior Software Engineer"", ""Senior Java Developer"", ""Lead Java Developer""]"
